2026-04-28 15:02:50 | DEBUG    | portfolio.optimizer:116 | Optimizer: Positive directional derivative for linesearch — falling back to equal-weight
2026-04-28 15:02:50 | SUCCESS  | backtest.engine:255 | cross_sectional_momentum: Sharpe=-0.547 | CAGR=-0.0877
2026-04-28 15:02:50 | INFO     | backtest.engine:164 | Backtesting: vol_breakout
2026-04-28 15:02:52 | SUCCESS  | backtest.engine:255 | vol_breakout: Sharpe=-0.575 | CAGR=-0.0372
2026-04-28 15:02:52 | INFO     | backtest.engine:164 | Backtesting: pairs_trading
2026-04-28 15:02:53 | SUCCESS  | backtest.engine:255 | pairs_trading: Sharpe=-0.48 | CAGR=-0.0171
2026-04-28 15:02:53 | INFO     | backtest.engine:164 | Backtesting: ml_signal
2026-04-28 15:03:01 | SUCCESS  | backtest.engine:255 | ml_signal: Sharpe=-1.853 | CAGR=-0.2609
2026-04-28 15:03:01 | INFO     | backtest.engine:164 | Backtesting: macro_rotation
2026-04-28 15:03:05 | DEBUG    | portfolio.optimizer:116 | Optimizer: Positive directional derivative for linesearch — falling back to equal-weight
2026-04-28 15:03:06 | SUCCESS  | backtest.engine:255 | macro_rotation: Sharpe=0.67 | CAGR=0.0881
2026-04-28 15:03:06 | INFO     | backtest.engine:164 | Backtesting: carry
2026-04-28 15:03:07 | DEBUG    | portfolio.optimizer:116 | Optimizer: Positive directional derivative for linesearch — falling back to equal-weight
2026-04-28 15:03:07 | DEBUG    | portfolio.optimizer:116 | Optimizer: Positive directional derivative for linesearch — falling back to equal-weight
2026-04-28 15:03:07 | DEBUG    | portfolio.optimizer:116 | Optimizer: Positive directional derivative for linesearch — falling back to equal-weight
2026-04-28 15:03:07 | DEBUG    | portfolio.optimizer:116 | Optimizer: Positive directional derivative for linesearch — falling back to equal-weight
2026-04-28 15:03:07 | DEBUG    | portfolio.optimizer:116 | Optimizer: Positive directional derivative for linesearch — falling back to equal-weight
2026-04-28 15:03:07 | DEBUG    | portfolio.optimizer:116 | Optimizer: Positive directional derivative for linesearch — falling back to equal-weight
2026-04-28 15:03:07 | DEBUG    | portfolio.optimizer:116 | Optimizer: Positive directional derivative for linesearch — falling back to equal-weight
2026-04-28 15:03:08 | DEBUG    | portfolio.optimizer:116 | Optimizer: Positive directional derivative for linesearch — falling back to equal-weight
2026-04-28 15:03:08 | DEBUG    | portfolio.optimizer:116 | Optimizer: Positive directional derivative for linesearch — falling back to equal-weight
2026-04-28 15:03:08 | DEBUG    | portfolio.optimizer:116 | Optimizer: Positive directional derivative for linesearch — falling back to equal-weight
2026-04-28 15:03:08 | SUCCESS  | backtest.engine:255 | carry: Sharpe=-0.476 | CAGR=-0.018
2026-04-28 15:03:08 | INFO     | backtest.engine:164 | Backtesting: sentiment
2026-04-28 15:03:09 | DEBUG    | portfolio.optimizer:116 | Optimizer: Positive directional derivative for linesearch — falling back to equal-weight
2026-04-28 15:03:11 | SUCCESS  | backtest.engine:255 | sentiment: Sharpe=-0.7 | CAGR=-0.0222
2026-04-28 15:03:11 | INFO     | __main__:107 | Step 5/6: Seasonality and regime analysis
2026-04-28 15:03:11 | INFO     | seasonality.analyzer:175 | Strategy selector: date=2026-04-28 | month=4 | regime=bear
2026-04-28 15:03:11 | INFO     | seasonality.analyzer:218 | Selected strategies: [('cross_sectional_momentum', 1.0), ('risk_parity', 0.0)]
2026-04-28 15:03:11 | INFO     | __main__:119 | Current strategy selection: [('cross_sectional_momentum', 1.0), ('risk_parity', 0.0)]
2026-04-28 15:03:11 | INFO     | __main__:122 | Step 6/6: Performance attribution
2026-04-28 15:03:11 | SUCCESS  | utils.reporting:141 | Results saved to /Users/sharonlau15/Desktop/SMU 3rd Sem/3in1Project/crypto_algo/results
2026-04-28 15:03:11 | INFO     | execution.live_engine:505 | Scheduler started — running daily at 06:00 UTC
2026-04-28 15:03:11 | INFO     | execution.live_engine:506 | Keep this process alive (tmux / screen / Docker recommended)
2026-04-28 15:03:11 | INFO     | execution.live_engine:507 | Press Ctrl+C to gracefully shutdown and generate reports...
2026-04-28 15:09:00 | INFO     | execution.live_engine:512 | 
🛑 Graceful shutdown initiated...
2026-04-28 15:09:00 | WARNING  | execution.live_engine:479 | No live state file found to report on.
2026-04-28 15:09:00 | SUCCESS  | execution.live_engine:514 | ✅ Strategy engine stopped. Goodbye!
2026-04-28 15:09:00 | INFO     | __main__:227 | ✅ Session complete.
2026-04-28 15:25:49 | INFO     | __main__:186 | Checking Binance connectivity...
2026-04-28 15:25:49 | WARNING  | __main__:195 | Starting live mode — ensure PAPER_TRADING=True in settings.py
2026-04-28 15:25:49 | INFO     | __main__:57 | ============================================================
2026-04-28 15:25:49 | INFO     | __main__:58 | QF623 Crypto Algo — Backtest Pipeline
2026-04-28 15:25:49 | INFO     | __main__:59 | ============================================================
2026-04-28 15:25:49 | INFO     | __main__:62 | Step 1/6: Loading universe data
2026-04-28 15:25:49 | DEBUG    | data.ingestion:82 | Cache hit: BTCUSDT 1d
2026-04-28 15:25:49 | DEBUG    | data.ingestion:82 | Cache hit: ETHUSDT 1d
2026-04-28 15:25:49 | DEBUG    | data.ingestion:82 | Cache hit: BNBUSDT 1d
2026-04-28 15:25:50 | DEBUG    | data.ingestion:82 | Cache hit: SOLUSDT 1d
2026-04-28 15:25:50 | DEBUG    | data.ingestion:82 | Cache hit: XRPUSDT 1d
2026-04-28 15:25:50 | DEBUG    | data.ingestion:82 | Cache hit: ADAUSDT 1d
2026-04-28 15:25:50 | DEBUG    | data.ingestion:82 | Cache hit: AVAXUSDT 1d
2026-04-28 15:25:50 | DEBUG    | data.ingestion:82 | Cache hit: DOTUSDT 1d
2026-04-28 15:25:50 | DEBUG    | data.ingestion:82 | Cache hit: LINKUSDT 1d
2026-04-28 15:25:50 | DEBUG    | data.ingestion:82 | Cache hit: MATICUSDT 1d
2026-04-28 15:25:50 | DEBUG    | data.ingestion:82 | Cache hit: ATOMUSDT 1d
2026-04-28 15:25:50 | DEBUG    | data.ingestion:82 | Cache hit: LTCUSDT 1d
2026-04-28 15:25:51 | INFO     | data.ingestion:132 | Universe loaded: 12/12 symbols
2026-04-28 15:25:51 | INFO     | __main__:70 | Universe: ['BTCUSDT', 'ETHUSDT', 'BNBUSDT', 'SOLUSDT', 'XRPUSDT', 'ADAUSDT', 'AVAXUSDT', 'DOTUSDT', 'LINKUSDT', 'MATICUSDT', 'ATOMUSDT', 'LTCUSDT']
2026-04-28 15:25:51 | INFO     | __main__:71 | Date range: 2021-01-01 → 2026-04-28
2026-04-28 15:25:51 | INFO     | __main__:72 | Total bars: 1944
2026-04-28 15:25:51 | INFO     | __main__:75 | Step 2/6: Loading funding rates and sentiment data
2026-04-28 15:25:56 | INFO     | __main__:80 | Step 3/6: Generating signals for all 10 strategies
2026-04-28 15:25:56 | INFO     | __main__:85 |   → momentum
2026-04-28 15:25:56 | DEBUG    | strategies.base:68 | Running strategy: momentum
2026-04-28 15:25:56 | INFO     | __main__:85 |   → mean_reversion
2026-04-28 15:25:56 | DEBUG    | strategies.base:68 | Running strategy: mean_reversion
2026-04-28 15:25:56 | INFO     | __main__:85 |   → risk_parity
2026-04-28 15:25:56 | DEBUG    | strategies.base:68 | Running strategy: risk_parity
2026-04-28 15:25:56 | INFO     | __main__:85 |   → cross_sectional_momentum
2026-04-28 15:25:56 | DEBUG    | strategies.base:68 | Running strategy: cross_sectional_momentum
2026-04-28 15:25:56 | INFO     | __main__:85 |   → vol_breakout
2026-04-28 15:25:56 | DEBUG    | strategies.base:68 | Running strategy: vol_breakout
2026-04-28 15:25:56 | INFO     | __main__:85 |   → pairs_trading
2026-04-28 15:25:56 | DEBUG    | strategies.base:68 | Running strategy: pairs_trading
2026-04-28 15:25:58 | INFO     | __main__:85 |   → ml_signal
2026-04-28 15:25:58 | DEBUG    | strategies.base:68 | Running strategy: ml_signal
2026-04-28 15:26:04 | INFO     | __main__:85 |   → macro_rotation
2026-04-28 15:26:04 | DEBUG    | strategies.base:68 | Running strategy: macro_rotation
2026-04-28 15:26:04 | INFO     | __main__:85 |   → carry
2026-04-28 15:26:04 | DEBUG    | strategies.base:68 | Running strategy: carry
2026-04-28 15:26:04 | INFO     | __main__:85 |   → sentiment
2026-04-28 15:26:04 | DEBUG    | strategies.base:68 | Running strategy: sentiment
2026-04-28 15:26:04 | INFO     | __main__:97 | Step 4/6: Running walk-forward backtests
2026-04-28 15:26:04 | INFO     | backtest.engine:164 | Backtesting: momentum
2026-04-28 15:26:11 | DEBUG    | portfolio.optimizer:116 | Optimizer: Positive directional derivative for linesearch — falling back to equal-weight
2026-04-28 15:26:11 | DEBUG    | portfolio.optimizer:116 | Optimizer: Positive directional derivative for linesearch — falling back to equal-weight
2026-04-28 15:26:11 | DEBUG    | portfolio.optimizer:116 | Optimizer: Positive directional derivative for linesearch — falling back to equal-weight
2026-04-28 15:26:11 | DEBUG    | portfolio.optimizer:116 | Optimizer: Positive directional derivative for linesearch — falling back to equal-weight
2026-04-28 15:26:11 | DEBUG    | portfolio.optimizer:116 | Optimizer: Positive directional derivative for linesearch — falling back to equal-weight
2026-04-28 15:26:11 | DEBUG    | portfolio.optimizer:116 | Optimizer: Positive directional derivative for linesearch — falling back to equal-weight
2026-04-28 15:26:11 | DEBUG    | portfolio.optimizer:116 | Optimizer: Positive directional derivative for linesearch — falling back to equal-weight
2026-04-28 15:26:11 | DEBUG    | portfolio.optimizer:116 | Optimizer: Positive directional derivative for linesearch — falling back to equal-weight
2026-04-28 15:26:11 | DEBUG    | portfolio.optimizer:116 | Optimizer: Positive directional derivative for linesearch — falling back to equal-weight
2026-04-28 15:26:11 | DEBUG    | portfolio.optimizer:116 | Optimizer: Positive directional derivative for linesearch — falling back to equal-weight
2026-04-28 15:26:11 | DEBUG    | portfolio.optimizer:116 | Optimizer: Positive directional derivative for linesearch — falling back to equal-weight
2026-04-28 15:26:11 | DEBUG    | portfolio.optimizer:116 | Optimizer: Positive directional derivative for linesearch — falling back to equal-weight
2026-04-28 15:26:11 | DEBUG    | portfolio.optimizer:116 | Optimizer: Positive directional derivative for linesearch — falling back to equal-weight
2026-04-28 15:26:12 | DEBUG    | portfolio.optimizer:116 | Optimizer: Positive directional derivative for linesearch — falling back to equal-weight
2026-04-28 15:26:12 | DEBUG    | portfolio.optimizer:116 | Optimizer: Positive directional derivative for linesearch — falling back to equal-weight
2026-04-28 15:26:12 | DEBUG    | portfolio.optimizer:116 | Optimizer: Positive directional derivative for linesearch — falling back to equal-weight
2026-04-28 15:26:12 | DEBUG    | portfolio.optimizer:116 | Optimizer: Positive directional derivative for linesearch — falling back to equal-weight
2026-04-28 15:26:12 | DEBUG    | portfolio.optimizer:116 | Optimizer: Positive directional derivative for linesearch — falling back to equal-weight
2026-04-28 15:26:12 | DEBUG    | portfolio.optimizer:116 | Optimizer: Positive directional derivative for linesearch — falling back to equal-weight
2026-04-28 15:26:12 | DEBUG    | portfolio.optimizer:116 | Optimizer: Positive directional derivative for linesearch — falling back to equal-weight
2026-04-28 15:26:12 | DEBUG    | portfolio.optimizer:116 | Optimizer: Positive directional derivative for linesearch — falling back to equal-weight
2026-04-28 15:26:12 | DEBUG    | portfolio.optimizer:116 | Optimizer: Positive directional derivative for linesearch — falling back to equal-weight
2026-04-28 15:26:13 | DEBUG    | portfolio.optimizer:116 | Optimizer: Positive directional derivative for linesearch — falling back to equal-weight
